timestamp,link,util_bps,capacity_bps,util_pct,congested
13:49:28,s2-s4,4773772,5000000,95.5,0
13:49:30,s1-s2,5382412,10000000,53.8,0
13:49:30,s2-s3,6815312,10000000,68.2,0
13:49:30,s3-s4,5962812,10000000,59.6,0
13:49:30,s1-s5,3621788,5000000,72.4,0
13:49:30,s5-s3,3630612,5000000,72.6,0
13:49:30,s2-s4,4766212,5000000,95.3,0
13:49:32,s1-s2,6455840,10000000,64.6,0
13:49:32,s2-s3,8308768,10000000,83.1,1
13:49:32,s3-s4,7185696,10000000,71.9,0
13:49:32,s1-s5,4338352,5000000,86.8,0
13:49:32,s5-s3,4349688,5000000,87.0,0
13:49:32,s2-s4,5767524,5000000,115.4,0
13:49:34,s1-s2,7546976,10000000,75.5,0
13:49:34,s2-s3,9800444,10000000,98.0,1
13:49:34,s3-s4,8436840,10000000,84.4,1
13:49:34,s1-s5,5078516,5000000,101.6,0
13:49:34,s5-s3,5086092,5000000,101.7,0
13:49:34,s2-s4,6762592,5000000,135.3,0
13:49:36,s1-s2,8107484,10000000,81.1,1
13:49:36,s2-s3,10537776,10000000,105.4,1
13:49:36,s3-s4,9018268,10000000,90.2,1
13:49:36,s1-s5,5432480,5000000,108.6,0
13:49:36,s5-s3,5450956,5000000,109.0,0
13:49:36,s2-s4,7260024,5000000,145.2,0
13:49:38,s1-s2,10634624,10000000,106.3,1
13:49:38,s2-s3,13917168,10000000,139.2,1
13:49:38,s3-s4,11790808,10000000,117.9,1
13:49:38,s1-s5,7135396,5000000,142.7,0
13:49:38,s5-s3,7144688,5000000,142.9,0
13:49:38,s2-s4,9404436,5000000,188.1,1
13:49:40,s1-s2,11509424,10000000,115.1,1
13:49:40,s2-s3,15155900,10000000,151.6,1
13:49:40,s3-s4,12640180,10000000,126.4,1
13:49:40,s1-s5,7673896,5000000,153.5,0
13:49:40,s5-s3,7687340,5000000,153.7,0
13:49:40,s2-s4,9953828,5000000,199.1,1
13:49:42,s1-s2,12005840,10000000,120.1,1
13:49:42,s2-s3,15890200,10000000,158.9,1
13:49:42,s3-s4,13029672,10000000,130.3,1
13:49:42,s1-s5,8017996,5000000,160.4,1
13:49:42,s5-s3,8022868,5000000,160.5,1
13:49:42,s2-s4,10047964,5000000,201.0,1
13:49:45,s1-s2,12160512,10000000,121.6,1
13:49:45,s2-s3,16162860,10000000,161.6,1
13:49:45,s3-s4,13129228,10000000,131.3,1
